iter	Passed	Remaining
777	1136	324
778	1137	322
779	1139	321
780	1140	319
781	1141	318
782	1143	316
783	1144	315
784	1145	313
785	1146	312
786	1148	310
787	1149	309
788	1150	307
789	1152	306
790	1153	304
791	1155	303
792	1156	301
793	1157	300
794	1158	298
795	1160	297
796	1161	295
797	1162	294
798	1164	292
799	1165	291
800	1166	289
801	1168	288
802	1169	286
803	1171	285
804	1172	283
805	1173	282
806	1174	280
807	1176	279
808	1177	277
809	1178	276
810	1179	274
811	1181	273
812	1182	271
813	1184	270
814	1185	269
815	1186	267
816	1188	266
817	1189	264
818	1191	263
819	1192	261
820	1193	260
821	1194	258
822	1196	257
823	1197	255
824	1198	254
825	1200	252
826	1202	251
827	1204	250
828	1205	248
829	1207	247
830	1208	245
831	1210	244
832	1212	243
833	1213	241
834	1215	240
835	1216	238
836	1218	237
837	1220	235
838	1221	234
839	1222	232
840	1224	231
841	1225	230
842	1227	228
843	1229	227
844	1230	225
845	1232	224
846	1233	222
847	1235	221
848	1236	219
849	1238	218
850	1240	217
851	1241	215
852	1243	214
853	1244	212
854	1246	211
855	1247	209
856	1249	208
857	1250	207
858	1252	205
859	1254	204
860	1255	202
861	1257	201
862	1259	199
863	1260	198
864	1262	197
865	1264	195
866	1265	194
867	1266	192
868	1268	191
869	1270	189
870	1271	188
871	1273	186
872	1275	185
873	1276	184
874	1278	182
875	1279	181
876	1281	179
877	1282	178
878	1283	176
879	1285	175
880	1286	173
881	1287	172
882	1289	170
883	1291	169
884	1292	167
885	1293	166
886	1295	165
887	1296	163
888	1298	162
889	1299	160
890	1301	159
891	1302	157
892	1304	156
893	1305	154
894	1307	153
895	1308	151
896	1310	150
897	1311	148
898	1312	147
899	1314	146
900	1315	144
901	1317	143
902	1318	141
903	1320	140
904	1321	138
905	1323	137
906	1324	135
907	1325	134
908	1327	132
909	1328	131
910	1330	129
911	1331	128
912	1332	127
913	1334	125
914	1335	124
915	1337	122
916	1338	121
917	1340	119
918	1341	118
919	1342	116
920	1344	115
921	1345	113
922	1347	112
923	1348	110
924	1350	109
925	1351	108
926	1353	106
927	1354	105
928	1356	103
929	1357	102
930	1358	100
931	1360	99
932	1361	97
933	1363	96
934	1364	94
935	1366	93
936	1367	91
937	1369	90
938	1370	89
939	1371	87
940	1373	86
941	1374	84
942	1375	83
943	1377	81
944	1378	80
945	1379	78
946	1381	77
947	1382	75
948	1384	74
949	1385	72
950	1386	71
951	1387	69
952	1389	68
953	1390	67
954	1392	65
955	1393	64
956	1394	62
957	1396	61
958	1397	59
959	1399	58
960	1400	56
961	1401	55
962	1402	53
963	1404	52
964	1405	50
965	1406	49
966	1408	48
967	1409	46
968	1411	45
969	1412	43
970	1414	42
971	1415	40
972	1416	39
973	1418	37
974	1419	36
975	1420	34
976	1422	33
977	1424	32
978	1425	30
979	1426	29
980	1428	27
981	1429	26
982	1430	24
983	1432	23
984	1433	21
985	1434	20
986	1436	18
987	1437	17
988	1439	16
989	1440	14
990	1442	13
991	1443	11
992	1444	10
993	1445	8
994	1447	7
995	1448	5
996	1449	4
997	1451	2
998	1452	1
999	1454	0
