iter	Passed	Remaining
461	781	909
462	782	907
463	783	905
464	785	903
465	786	901
466	787	899
467	789	897
468	790	894
469	791	892
470	792	890
471	794	888
472	795	886
473	796	884
474	798	882
475	799	880
476	801	878
477	802	876
478	803	874
479	804	871
480	806	869
481	807	867
482	808	865
483	810	863
484	811	861
485	812	859
486	814	857
487	815	855
488	816	853
489	818	851
490	819	849
491	820	847
492	822	845
493	823	843
494	824	841
495	826	839
496	827	837
497	828	835
498	829	833
499	831	831
500	832	829
501	833	826
502	834	824
503	836	822
504	837	820
505	838	819
506	840	817
507	841	815
508	842	813
509	844	811
510	845	809
511	846	807
512	848	805
513	849	803
514	850	801
515	851	799
516	853	797
517	854	795
518	855	793
519	857	791
520	858	789
521	859	787
522	861	785
523	862	783
524	863	781
525	865	779
526	866	777
527	867	775
528	868	773
529	870	771
530	871	769
531	872	767
532	874	765
533	875	763
534	876	761
535	878	760
536	879	758
537	880	756
538	881	754
539	883	752
540	884	750
541	885	748
542	887	746
543	888	744
544	889	742
545	891	740
546	892	738
547	893	737
548	894	735
549	896	733
550	897	731
551	898	729
552	900	727
553	901	725
554	902	723
555	904	721
556	905	720
557	906	718
558	908	716
559	909	714
560	910	712
561	911	710
562	913	708
563	914	706
564	915	705
565	917	703
566	918	701
567	919	699
568	920	697
569	922	695
570	923	693
571	924	691
572	925	690
573	927	688
574	928	686
575	929	684
576	931	682
577	932	680
578	933	678
579	934	676
580	936	675
581	937	673
582	938	671
583	940	669
584	941	667
585	942	665
586	943	664
587	945	662
588	946	660
589	947	658
590	949	656
591	950	654
592	951	653
593	952	651
594	954	649
595	955	647
596	956	645
597	958	644
598	960	642
599	961	641
600	962	639
601	964	637
602	965	635
603	966	633
604	968	632
605	969	630
606	971	628
607	972	627
608	974	625
609	975	623
610	976	621
611	978	620
612	979	618
613	980	616
614	982	614
615	983	613
616	984	611
617	986	609
618	987	607
619	988	606
620	990	604
621	991	602
622	993	601
623	994	599
624	996	597
625	997	596
626	998	594
627	1000	592
628	1001	590
629	1002	588
630	1003	587
631	1005	585
632	1006	583
633	1007	581
634	1009	580
635	1010	578
636	1011	576
637	1012	574
638	1014	572
639	1015	571
640	1016	569
641	1018	567
642	1019	565
643	1020	564
644	1021	562
645	1023	560
646	1024	559
647	1025	557
648	1027	555
649	1028	553
650	1029	552
651	1031	550
652	1032	548
653	1033	546
654	1035	545
655	1036	543
656	1037	541
657	1038	539
658	1040	538
659	1041	536
660	1042	534
661	1044	533
662	1045	531
663	1046	529
664	1048	528
665	1049	526
666	1050	524
667	1052	522
668	1053	521
669	1054	519
670	1055	517
671	1057	516
672	1058	514
673	1060	512
674	1062	511
675	1063	509
676	1064	507
677	1065	506
678	1067	504
679	1068	502
680	1069	501
681	1071	499
682	1072	497
683	1073	496
684	1075	494
685	1076	492
686	1077	491
687	1079	489
688	1080	487
689	1081	486
690	1083	484
691	1084	482
692	1085	481
693	1087	479
694	1088	477
695	1089	476
696	1091	474
697	1092	472
698	1094	471
699	1095	469
700	1097	467
701	1098	466
702	1099	464
703	1101	462
704	1102	461
705	1103	459
706	1104	457
707	1106	456
708	1107	454
709	1108	452
710	1110	451
711	1111	449
712	1112	447
713	1114	446
714	1115	444
715	1116	442
716	1118	441
717	1119	439
718	1120	438
719	1122	436
720	1123	434
721	1124	433
722	1126	431
723	1127	429
724	1128	428
725	1129	426
726	1131	424
727	1132	423
728	1134	421
729	1135	419
730	1136	418
731	1138	416
732	1139	415
733	1140	413
734	1141	411
735	1143	410
736	1144	408
737	1145	406
738	1147	405
739	1148	403
740	1149	401
741	1150	400
742	1152	398
743	1153	396
744	1154	395
745	1156	393
746	1157	391
747	1158	390
748	1160	388
749	1161	387
750	1162	385
751	1163	383
752	1165	382
